yearID,lgID,league_wide_ERA,DH Rule
1947,NL,4.652088018965412,NO DH
1954,AL,4.216749212066636,NO DH
2007,AL,4.876815065664492,DH
1979,NL,4.227658760520276,DH
1971,NL,3.91452877334198,NO DH
2006,NL,4.884902969270001,DH
2023,AL,4.633957950349899,DH
2001,AL,4.903626379062979,DH
1962,AL,4.453806407165001,NO DH
1990,NL,4.231953820190242,DH
1995,AL,5.1193257676902535,DH
2008,AL,4.721561969439729,DH
2024,NL,4.510149539640363,DH
1986,AL,4.654726942748721,DH
1985,NL,4.068232107431711,DH
2014,NL,4.005546642218657,DH
1984,AL,4.4498520710059175,DH
2006,AL,4.938571641568511,DH
1999,NL,4.994323093769812,DH
1955,AL,4.48177146311971,NO DH
1963,NL,3.8223357229564145,NO DH
1960,AL,4.396463051520347,NO DH
1996,AL,5.419978623694812,DH
1957,NL,4.353311740409474,NO DH
1961,AL,4.580268022181146,NO DH
1995,NL,4.650033229951263,DH
1950,AL,5.133357657575481,NO DH
1974,NL,4.151788266229683,DH
1960,NL,4.248973352117742,NO DH
1990,AL,4.3460782532578,DH
2017,NL,4.679711462877048,DH
1962,NL,4.520496894409938,NO DH
2019,NL,4.74129574526826,DH
1986,NL,4.170568370442448,DH
1982,NL,4.07693330799924,DH
2022,NL,4.434608830364058,DH
1994,AL,5.268570357703389,DH
2019,AL,4.986568723875092,DH
1965,AL,3.9542390756109858,NO DH
2013,NL,4.044933020048213,DH
1987,NL,4.5422061108234075,DH
2021,NL,4.599949840901609,DH
2004,AL,5.029830106677203,DH
1968,NL,3.418908793678905,NO DH
1948,NL,4.496850944716585,NO DH
1999,AL,5.313481653660967,DH
1972,NL,3.8927366540980355,NO DH
1958,AL,4.2118105950653115,NO DH
1977,AL,4.560077136075949,DH
1959,AL,4.389667963448837,NO DH
2017,AL,4.71705294951612,DH
2000,NL,5.072384937238494,DH
1973,NL,4.15044045303741,DH
1973,AL,4.301168806284728,DH
2015,AL,4.323617534532827,DH
2001,NL,4.753073400459385,DH
2020,AL,4.8115948238923645,DH
1983,NL,4.11986713246664,DH
