yearID,lgID,league_wide_SLG,DH Rule
1950,NL,0.401027913994719,NO DH
1988,AL,0.39059801311603143,DH
1955,AL,0.381065117057656,NO DH
1974,AL,0.3714644782266368,DH
1982,NL,0.37268158700934156,NO DH
2023,AL,0.411824012438657,DH
2013,AL,0.4043655552890381,DH
1949,AL,0.37886678346012626,NO DH
1953,NL,0.4113135861535214,NO DH
2000,AL,0.4433651189733535,DH
1969,NL,0.36908944350656264,NO DH
2011,AL,0.4078570876189003,DH
1949,NL,0.38905668329001897,NO DH
1965,NL,0.3740542102316846,NO DH
2011,NL,0.39122096256199,DH
1996,NL,0.4080246039814183,NO DH
1977,NL,0.39644677661169414,NO DH
2015,NL,0.39694139282775975,DH
1994,NL,0.41456018014091667,NO DH
2005,NL,0.41407172038129825,DH
1986,NL,0.37999391449870684,NO DH
1948,AL,0.3816391887083383,NO DH
1998,AL,0.43150632523974697,DH
1964,AL,0.38175063428778544,NO DH
2001,NL,0.42533484676503974,DH
2008,NL,0.4128901179524804,DH
1987,AL,0.42548734884796774,DH
1971,NL,0.3663869626572387,NO DH
2001,AL,0.42811068164947397,DH
2000,NL,0.43163967862253927,DH
